# GENERATED by analysis/run_index.py from the packed run_manifest.json files and streams -- do not edit.
# The prose half of the registry is runs_registry.tsv.
run	group	provenance	binary	binary_version	preflight	eps	eps2	max_level	L	N1	stop_time	restart	H0	seed_check	name_check	binary_check	intent_check
merge_orbit_flip_d12_rw_r05000	05_binary_spiral/p012	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	60.0	yes		n/a	ok	unknown	ok
merge_orbit_flip_d12_sg10_r05000	05_binary_spiral/p012	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	60.0	yes		n/a	ok	unknown	ok
merge_twin_p012_cf08_t060_r05000	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	60.0	yes		n/a	ok	unknown	ok
merge_twin_p012_cf10_t060_r05000	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	60.0	yes		n/a	ok	unknown	ok
merge_twin_p012_cf12_t060_r05000	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	60.0	yes		n/a	ok	unknown	ok
merge_twin_p012_eta4_t060	05_binary_spiral/p012	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899715573e-03	n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_twin_p012_eta4_t100	05_binary_spiral/p012	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		2.9899715573e-03	n/a	ok	ok	ok
merge_twin_p012_helfer_lvl4_t100	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	4	64.0	128	100.0		3.3769703096e-03	n/a	ok	unknown	ok
merge_twin_p012_helfer_lvl5_t100	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	100.0		3.3769703096e-03	n/a	ok	unknown	ok
merge_twin_p012_helfer_t100	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		3.3769703096e-03	n/a	ok	unknown	ok
merge_twin_p012_helfer_w2_t060	05_binary_spiral/p012	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		3.3371882140e-03	n/a	ok	unknown	checkpoints asked for (interval/keep) with checkpoint output off: none written
